"ENSEMBL","ENTREZID","SYMBOL","ALIAS","GENENAME","GENETYPE","UNIPROT"
"ENSG00000186204","66002","CYP4F12","CYPIVF12/F22329_1/CYP4F12","cytochrome P450 family 4 subfamily F member 12","protein-coding","A0A0A0MR49"
"ENSG00000186204","66002","CYP4F12","CYPIVF12/F22329_1/CYP4F12","cytochrome P450 family 4 subfamily F member 12","protein-coding","Q9HCS2"
"ENSG00000186716","613","BCR","ALL/BCR1/CML/D22S11/D22S662/PHL/BCR","BCR activator of RhoGEF and GTPase","protein-coding","P11274"
"ENSG00000186765","25794","FSCN2","RFSN/RP30/FSCN2","fascin actin-bundling protein 2, retinal","protein-coding","O14926"
"ENSG00000187091","5333","PLCD1","NDNC3/PLC-III/PLCD1","phospholipase C delta 1","protein-coding","P51178"
"ENSG00000187091","5333","PLCD1","NDNC3/PLC-III/PLCD1","phospholipase C delta 1","protein-coding","A8K8F9"
"ENSG00000187912","388512","CLEC17A","CLEC17A","C-type lectin domain containing 17A","protein-coding","Q6ZS10"
"ENSG00000188687","57835","SLC4A5","NBC4/NBCe2/SLC4A5","solute carrier family 4 member 5","protein-coding","Q9BY07"
"ENSG00000188848","389206","BEND4","CCDC4/BEND4","BEN domain containing 4","protein-coding","Q6ZU67"
"ENSG00000189306","27341","RRP7A","BK126B4.3/CGI-96/MCPH28/Rrp7/RRP7A","ribosomal RNA processing 7 homolog A","protein-coding","Q9Y3A4"
"ENSG00000197576","3201","HOXA4","HOX1/HOX1D/HOXA4","homeobox A4","protein-coding","Q00056"
"ENSG00000204010","439996","IFIT1B","IFIT1L/bA149I23.6/IFIT1B","interferon induced protein with tetratricopeptide repeats 1B","protein-coding","Q5T764"
